Date,Open,High,Low,Close
2024-06-11,1.1822,1.1827,1.1817,1.1826
2024-06-10,1.1819,1.1826,1.1818,1.1823
2024-06-09,1.1809,1.1848,1.1802,1.1809
2024-06-06,1.1744,1.1775,1.1733,1.1744
2024-06-05,1.1765,1.1766,1.1730,1.1765
2024-06-04,1.1737,1.1759,1.1733,1.1737
2024-06-03,1.1742,1.1756,1.1730,1.1742
2024-06-02,1.1743,1.1750,1.1716,1.1743
2024-05-30,1.1748,1.1763,1.1708,1.1748
2024-05-29,1.1755,1.1761,1.1740,1.1755
2024-05-28,1.1756,1.1786,1.1741,1.1756
2024-05-27,1.1758,1.1769,1.1738,1.1758
2024-05-26,1.1738,1.1769,1.1735,1.1738
2024-05-23,1.1737,1.1748,1.1718,1.1737
2024-05-22,1.1749,1.1764,1.1724,1.1749
2024-05-21,1.1709,1.1759,1.1704,1.1709
2024-05-20,1.1702,1.1718,1.1692,1.1702
2024-05-19,1.1686,1.1699,1.1670,1.1686
2024-05-16,1.1659,1.1688,1.1651,1.1659
2024-05-15,1.1652,1.1662,1.1643,1.1652
2024-05-14,1.1637,1.1659,1.1626,1.1637
2024-05-13,1.1638,1.1644,1.1609,1.1638
2024-05-12,1.1626,1.1635,1.1614,1.1626
2024-05-09,1.1616,1.1634,1.1611,1.1616
2024-05-08,1.1624,1.1639,1.1602,1.1624
2024-05-07,1.1628,1.1630,1.1603,1.1628
2024-05-06,1.1664,1.1666,1.1635,1.1664
2024-05-05,1.1657,1.1686,1.1650,1.1657
2024-05-02,1.1686,1.1694,1.1645,1.1686
2024-05-01,1.1698,1.1700,1.1675,1.1698
2024-04-30,1.1709,1.1713,1.1684,1.1709
2024-04-29,1.1720,1.1722,1.1686,1.1720
2024-04-28,1.1683,1.1714,1.1680,1.1683
2024-04-25,1.1659,1.1678,1.1648,1.1659
2024-04-24,1.1644,1.1675,1.1637,1.1644
2024-04-23,1.1634,1.1643,1.1625,1.1634
2024-04-22,1.1589,1.1634,1.1568,1.1589
2024-04-21,1.1612,1.1615,1.1567,1.1610
2024-04-18,1.1683,1.1688,1.1631,1.1683
2024-04-17,1.1672,1.1694,1.1665,1.1672
2024-04-16,1.1703,1.1735,1.1688,1.1703
2024-04-15,1.1714,1.1725,1.1698,1.1714
2024-04-14,1.1700,1.1726,1.1690,1.1700
2024-04-11,1.1703,1.1725,1.1693,1.1703
2024-04-10,1.1669,1.1704,1.1665,1.1669
2024-04-09,1.1674,1.1698,1.1669,1.1674
2024-04-08,1.1652,1.1680,1.1647,1.1652
2024-04-07,1.1656,1.1663,1.1647,1.1656
2024-04-04,1.1664,1.1665,1.1645,1.1664
2024-04-03,1.1672,1.1675,1.1651,1.1672
2024-04-02,1.1679,1.1686,1.1650,1.1679
2024-04-01,1.1683,1.1708,1.1661,1.1683
2024-03-31,1.1709,1.1709,1.1682,1.1709
2024-03-28,1.1695,1.1720,1.1684,1.1695
2024-03-27,1.1668,1.1701,1.1664,1.1668
2024-03-26,1.1658,1.1674,1.1646,1.1658
2024-03-25,1.1660,1.1668,1.1642,1.1660
2024-03-24,1.1596,1.1674,1.1596,1.1596
2024-03-21,1.1653,1.1671,1.1624,1.1653
2024-03-20,1.1701,1.1722,1.1654,1.1701
2024-03-19,1.1708,1.1716,1.1694,1.1708
2024-03-18,1.1704,1.1709,1.1687,1.1704
2024-03-17,1.1698,1.1699,1.1678,1.1698
2024-03-14,1.1710,1.1713,1.1697,1.1710
2024-03-13,1.1687,1.1716,1.1683,1.1687
2024-03-12,1.1709,1.1711,1.1690,1.1709
2024-03-11,1.1724,1.1728,1.1687,1.1724
2024-03-10,1.1747,1.1751,1.1716,1.1747
2024-03-07,1.1699,1.1759,1.1694,1.1699
2024-03-06,1.1684,1.1730,1.1676,1.1684
2024-03-05,1.1702,1.1707,1.1679,1.1702
2024-03-04,1.1690,1.1712,1.1679,1.1690
2024-03-03,1.1676,1.1694,1.1671,1.1676
2024-02-29,1.1684,1.1689,1.1660,1.1684
2024-02-28,1.1681,1.1694,1.1667,1.1681
2024-02-27,1.1694,1.1701,1.1672,1.1694
2024-02-26,1.1689,1.1696,1.1673,1.1690
2024-02-25,1.1710,1.1713,1.1678,1.1711
2024-02-22,1.1695,1.1725,1.1690,1.1695
2024-02-21,1.1679,1.1697,1.1665,1.1679
2024-02-20,1.1678,1.1686,1.1664,1.1678
2024-02-19,1.1681,1.1701,1.1656,1.1681
2024-02-18,1.1693,1.1712,1.1682,1.1693
2024-02-15,1.1692,1.1704,1.1674,1.1692
2024-02-14,1.1710,1.1715,1.1666,1.1710
2024-02-13,1.1754,1.1766,1.1696,1.1754
2024-02-12,1.1721,1.1763,1.1712,1.1721
2024-02-11,1.1702,1.1724,1.1698,1.1702
2024-02-08,1.1709,1.1719,1.1699,1.1709
2024-02-07,1.1717,1.1722,1.1702,1.1717
2024-02-06,1.1717,1.1742,1.1706,1.1717
2024-02-05,1.1668,1.1714,1.1665,1.1668
2024-02-04,1.1707,1.1723,1.1668,1.1707
2024-02-01,1.1718,1.1736,1.1703,1.1718
2024-01-31,1.1734,1.1735,1.1683,1.1734
2024-01-30,1.1703,1.1731,1.1695,1.1703
2024-01-29,1.1730,1.1740,1.1672,1.1730
2024-01-28,1.1709,1.1746,1.1704,1.1709
2024-01-25,1.1715,1.1729,1.1701,1.1715
2024-01-24,1.1687,1.1735,1.1675,1.1687
2024-01-23,1.1688,1.1713,1.1679,1.1688
2024-01-22,1.1681,1.1700,1.1675,1.1681
2024-01-21,1.1659,1.1688,1.1649,1.1659
2024-01-18,1.1682,1.1683,1.1636,1.1682
2024-01-17,1.1645,1.1680,1.1636,1.1645
2024-01-16,1.1616,1.1670,1.1602,1.1616
2024-01-15,1.1615,1.1639,1.1601,1.1615
2024-01-14,1.1635,1.1637,1.1611,1.1635
2024-01-11,1.1635,1.1642,1.1618,1.1635
2024-01-10,1.1612,1.1631,1.1603,1.1612
2024-01-09,1.1626,1.1634,1.1605,1.1626
2024-01-08,1.1633,1.1646,1.1617,1.1633
2024-01-07,1.1622,1.1629,1.1598,1.1622
2024-01-04,1.1586,1.1627,1.1581,1.1586
2024-01-03,1.1599,1.1613,1.1573,1.1599
2024-01-02,1.1535,1.1589,1.1525,1.1535
2024-01-01,1.1531,1.1566,1.1517,1.1531
2023-12-31,1.1530,1.1530,1.1483,1.1530
2023-12-28,1.1504,1.1541,1.1492,1.1504
2023-12-27,1.1519,1.1534,1.1472,1.1519
2023-12-26,1.1524,1.1536,1.1495,1.1524
2023-12-25,1.1529,1.1536,1.1513,1.1529
2023-12-24,1.1526,1.1549,1.1486,1.1526
2023-12-21,1.1523,1.1558,1.1519,1.1523
2023-12-20,1.1550,1.1551,1.1513,1.1550
2023-12-19,1.1594,1.1603,1.1536,1.1591
2023-12-18,1.1580,1.1629,1.1577,1.1580
2023-12-17,1.1630,1.1638,1.1567,1.1630
2023-12-14,1.1615,1.1665,1.1602,1.1615
2023-12-13,1.1597,1.1644,1.1582,1.1597
2023-12-12,1.1640,1.1641,1.1594,1.1640
2023-12-11,1.1660,1.1685,1.1616,1.1660
2023-12-10,1.1661,1.1697,1.1641,1.1661
2023-12-07,1.1665,1.1676,1.1641,1.1665
2023-12-06,1.1663,1.1689,1.1651,1.1663
2023-12-05,1.1668,1.1690,1.1663,1.1668
2023-12-04,1.1657,1.1675,1.1644,1.1657
2023-12-03,1.1675,1.1677,1.1645,1.1675
2023-11-30,1.1596,1.1663,1.1580,1.1596
2023-11-29,1.1568,1.1603,1.1561,1.1568
2023-11-28,1.1549,1.1569,1.1544,1.1549
2023-11-27,1.1529,1.1551,1.1516,1.1529
2023-11-26,1.1516,1.1548,1.1506,1.1516
2023-11-23,1.1493,1.1531,1.1483,1.1493
2023-11-22,1.1467,1.1510,1.1462,1.1467
2023-11-21,1.1489,1.1504,1.1459,1.1489
2023-11-20,1.1427,1.1478,1.1424,1.1427
2023-11-19,1.1418,1.1438,1.1407,1.1418
2023-11-16,1.1438,1.1447,1.1412,1.1438
2023-11-15,1.1443,1.1448,1.1408,1.1443
2023-11-14,1.1485,1.1488,1.1445,1.1485
2023-11-13,1.1473,1.1509,1.1453,1.1473
2023-11-12,1.1438,1.1483,1.1437,1.1438
2023-11-09,1.1451,1.1470,1.1420,1.1451
2023-11-08,1.1469,1.1503,1.1457,1.1469
2023-11-07,1.1491,1.1498,1.1471,1.1491
2023-11-06,1.1516,1.1523,1.1500,1.1516
2023-11-05,1.1528,1.1559,1.1522,1.1528
2023-11-02,1.1483,1.1528,1.1465,1.1483
2023-11-01,1.1506,1.1508,1.1446,1.1506
2023-10-31,1.1483,1.1517,1.1474,1.1483
2023-10-30,1.1458,1.1481,1.1424,1.1460
2023-10-29,1.1468,1.1484,1.1440,1.1468
2023-10-26,1.1487,1.1499,1.1466,1.1487
2023-10-25,1.1453,1.1504,1.1448,1.1453
2023-10-24,1.1477,1.1488,1.1457,1.1477
2023-10-23,1.1480,1.1516,1.1475,1.1480
2023-10-22,1.1483,1.1495,1.1458,1.1483
2023-10-19,1.1465,1.1482,1.1441,1.1465
2023-10-18,1.1521,1.1523,1.1471,1.1521
2023-10-17,1.1515,1.1545,1.1506,1.1515
2023-10-16,1.1570,1.1568,1.1507,1.1570
2023-10-15,1.1550,1.1567,1.1531,1.1550
2023-10-12,1.1561,1.1582,1.1551,1.1561
2023-10-11,1.1592,1.1599,1.1570,1.1592
2023-10-10,1.1588,1.1605,1.1568,1.1588
2023-10-09,1.1579,1.1584,1.1558,1.1579
2023-10-08,1.1564,1.1582,1.1550,1.1564
2023-10-05,1.1555,1.1572,1.1543,1.1555
2023-10-04,1.1551,1.1562,1.1528,1.1551
2023-10-03,1.1535,1.1573,1.1518,1.1535
2023-10-02,1.1536,1.1546,1.1505,1.1536
