Date,Open,High,Low,Close
2024-06-11,8.8099,8.8223,8.8078,8.8209
2024-06-10,8.8045,8.8366,8.7997,8.8090
2024-06-07,8.7589,8.7874,8.7541,8.7859
2024-06-06,8.7698,8.7767,8.7462,8.7601
2024-06-05,8.7528,8.7767,8.7399,8.7694
2024-06-04,8.7532,8.7680,8.7422,8.7573
2024-06-03,8.7543,8.7645,8.7371,8.7532
2024-05-31,8.7645,8.7738,8.7318,8.7617
2024-05-30,8.7677,8.7742,8.7538,8.7637
2024-05-29,8.7659,8.7934,8.7569,8.7690
2024-05-28,8.7709,8.7822,8.7560,8.7658
2024-05-27,8.7567,8.7817,8.7516,8.7709
2024-05-24,8.7578,8.7658,8.7439,8.7626
2024-05-23,8.7628,8.7784,8.7361,8.7575
2024-05-22,8.7360,8.7743,8.7319,8.7631
2024-05-21,8.7269,8.7437,8.7244,8.7320
2024-05-20,8.7159,8.7337,8.7065,8.7263
2024-05-17,8.6962,8.7212,8.6935,8.7184
2024-05-16,8.6925,8.7006,8.6864,8.6960
2024-05-15,8.6803,8.7000,8.6739,8.6923
2024-05-14,8.6786,8.6869,8.6594,8.6806
2024-05-13,8.6631,8.6855,8.6604,8.6797
2024-05-10,8.6629,8.6797,8.6563,8.6737
2024-05-09,8.6688,8.6816,8.6511,8.6616
2024-05-08,8.6716,8.6762,8.6537,8.6686
2024-05-07,8.6977,8.7004,8.6666,8.6709
2024-05-06,8.6893,8.7156,8.6885,8.6985
2024-05-03,8.7126,8.7218,8.6857,8.6945
2024-05-02,8.7139,8.7273,8.7019,8.7106
2024-05-01,8.7300,8.7360,8.7022,8.7135
2024-04-30,8.7344,8.7416,8.7017,8.7308
2024-04-29,8.7048,8.7401,8.7000,8.7345
2024-04-26,8.6931,8.7137,8.6864,8.7134
2024-04-25,8.6838,8.7083,8.6790,8.6939
2024-04-24,8.6711,8.6911,8.6700,8.6853
2024-04-23,8.6465,8.6799,8.6288,8.6716
2024-04-22,8.6522,8.6663,8.6301,8.6477
2024-04-19,8.7152,8.7219,8.6528,8.6632
2024-04-18,8.7045,8.7249,8.6997,8.7160
2024-04-17,8.7307,8.7555,8.7005,8.7036
2024-04-16,8.7357,8.7476,8.7182,8.7297
2024-04-15,8.7238,8.7484,8.7195,8.7337
2024-04-12,8.7269,8.7469,8.7224,8.7300
2024-04-11,8.7012,8.7326,8.6999,8.7283
2024-04-10,8.7060,8.7263,8.6947,8.7011
2024-04-09,8.6884,8.7124,8.6869,8.7061
2024-04-08,8.6876,8.6991,8.6800,8.6888
2024-04-05,8.6972,8.7015,8.6796,8.6975
2024-04-04,8.7059,8.7091,8.6857,8.6977
2024-04-03,8.7053,8.7159,8.6885,8.7060
2024-04-02,8.7104,8.7326,8.6952,8.7058
2024-04-01,8.7209,8.7345,8.7060,8.7110
2024-03-29,8.7246,8.7435,8.7125,8.7247
2024-03-28,8.7043,8.7335,8.6984,8.7237
2024-03-27,8.6959,8.7079,8.6871,8.7040
2024-03-26,8.6931,8.7019,8.6809,8.6963
