Date,Open,High,Low,Close
2024-06-11,5.1022,5.1152,5.1003,5.1097
2024-06-10,5.0945,5.1292,5.0804,5.0971
2024-06-07,5.0293,5.0825,5.0211,5.0793
2024-06-06,5.0362,5.0586,5.0155,5.0270
2024-06-05,5.0475,5.0687,5.0267,5.0452
2024-06-04,4.9835,5.0678,4.9835,5.0541
2024-06-03,4.9978,5.0376,4.9809,5.0179
2024-05-31,4.9963,5.0417,4.9894,5.0020
2024-05-30,4.9880,5.0462,4.9823,5.0179
2024-05-29,4.9952,5.0334,4.9877,5.0290
2024-05-28,5.0000,5.0095,4.9644,4.9876
2024-05-27,4.9867,5.0137,4.9703,4.9954
2024-05-24,5.0007,5.0078,4.9833,4.9833
2024-05-23,5.0051,5.0229,4.9710,4.9984
2024-05-22,4.9676,5.0193,4.9676,5.0039
2024-05-21,4.9746,4.9843,4.9433,4.9692
2024-05-20,4.9660,4.9791,4.9414,4.9677
2024-05-17,4.9573,4.9830,4.9573,4.9744
2024-05-16,4.9634,4.9754,4.9275,4.9539
2024-05-15,4.9608,4.9784,4.9318,4.9607
2024-05-14,4.9838,4.9915,4.9524,4.9571
2024-05-13,4.9813,5.0052,4.9534,4.9826
2024-05-10,4.9742,5.0069,4.9741,4.9996
2024-05-09,4.9975,5.0010,4.9431,4.9679
2024-05-08,5.0083,5.0200,4.9894,4.9933
2024-05-07,5.0046,5.0303,4.9774,5.0012
2024-05-06,5.0149,5.0593,4.9880,4.9948
2024-05-03,5.0580,5.0680,5.0227,5.0374
2024-05-02,5.0171,5.0710,5.0171,5.0487
2024-05-01,5.0683,5.0847,5.0172,5.0307
2024-04-30,5.0468,5.0757,5.0352,5.0664
2024-04-29,5.0208,5.0685,5.0163,5.0454
2024-04-26,5.0010,5.0499,5.0010,5.0414
2024-04-25,5.0127,5.0556,4.9974,5.0013
2024-04-24,5.0097,5.0497,5.0090,5.0422
2024-04-23,4.9974,5.0267,4.9974,5.0056
2024-04-22,4.9902,5.0244,4.9655,4.9944
2024-04-19,5.0576,5.0982,4.9805,5.0008
2024-04-18,5.0545,5.0688,5.0276,5.0620
2024-04-17,5.0683,5.1172,5.0293,5.0537
2024-04-16,5.0379,5.1167,5.0370,5.0679
2024-04-15,4.9824,5.0447,4.9824,4.9956
2024-04-12,4.9830,5.0187,4.9807,5.0130
2024-04-11,4.9712,4.9898,4.9712,4.9801
2024-04-10,4.9710,4.9899,4.9654,4.9690
2024-04-09,4.9555,4.9819,4.9282,4.9690
2024-04-08,4.9825,4.9967,4.9174,4.9228
2024-04-05,4.9937,5.0063,4.9858,4.9909
2024-04-04,5.0068,5.0162,4.9525,4.9949
2024-04-03,4.9614,5.0199,4.9614,5.0063
2024-04-02,5.0031,5.0271,4.9610,5.0006
2024-04-01,4.9841,5.0332,4.9656,5.0044
2024-03-29,5.0142,5.0467,5.0027,5.0137
2024-03-28,5.0287,5.0495,4.9875,4.9875
2024-03-27,5.0179,5.0404,5.0178,5.0305
2024-03-26,5.0141,5.0290,4.9772,5.0178
2024-03-25,5.0283,5.0400,4.9742,5.0129
2024-03-22,5.0059,5.0388,5.0059,5.0267
2024-03-21,5.0003,5.0534,5.0003,5.0094
2024-03-20,5.0464,5.0670,4.9947,5.0015
2024-03-19,5.0548,5.0603,5.0384,5.0443
2024-03-18,4.9787,5.0630,4.9787,5.0476
2024-03-15,5.0237,5.0353,5.0054,5.0269
2024-03-14,5.0026,5.0293,5.0026,5.0234
2024-03-13,5.0124,5.0227,4.9913,5.0009
2024-03-12,5.0156,5.0241,5.0050,5.0118
2024-03-11,5.0234,5.0555,5.0078,5.0161
2024-03-08,5.0213,5.0623,5.0213,5.0493
2024-03-07,5.0142,5.0422,4.9750,5.0310
2024-03-06,5.0455,5.0521,4.9996,5.0226
2024-03-05,5.0518,5.0580,5.0039,5.0435
2024-03-04,5.0277,5.0543,5.0276,5.0507
2024-03-01,5.0393,5.0476,5.0317,5.0365
2024-02-29,5.0465,5.0531,5.0251,5.0398
