Date,Open,High,Low,Close
2024-06-11,1.7511,1.7534,1.7509,1.7528
2024-06-10,1.7502,1.7528,1.7479,1.7506
2024-06-07,1.7483,1.7524,1.7450,1.7509
2024-06-06,1.7503,1.7517,1.7467,1.7481
2024-06-05,1.7467,1.7534,1.7456,1.7505
2024-06-04,1.7444,1.7505,1.7444,1.7465
2024-06-03,1.7360,1.7464,1.7335,1.7450
2024-05-31,1.7413,1.7422,1.7323,1.7363
2024-05-30,1.7420,1.7449,1.7396,1.7412
2024-05-29,1.7408,1.7442,1.7404,1.7420
2024-05-28,1.7404,1.7441,1.7389,1.7411
2024-05-27,1.7407,1.7423,1.7395,1.7405
2024-05-24,1.7434,1.7452,1.7386,1.7403
2024-05-23,1.7409,1.7439,1.7377,1.7433
2024-05-22,1.7333,1.7419,1.7322,1.7410
2024-05-21,1.7310,1.7371,1.7306,1.7331
2024-05-20,1.7280,1.7324,1.7273,1.7309
2024-05-17,1.7249,1.7303,1.7240,1.7286
2024-05-16,1.7250,1.7275,1.7234,1.7249
2024-05-15,1.7183,1.7259,1.7167,1.7252
2024-05-14,1.7162,1.7196,1.7112,1.7186
2024-05-13,1.7113,1.7182,1.7108,1.7163
2024-05-10,1.7125,1.7157,1.7072,1.7116
2024-05-09,1.7144,1.7155,1.7084,1.7126
2024-05-08,1.7164,1.7188,1.7130,1.7143
2024-05-07,1.7166,1.7200,1.7141,1.7162
2024-05-06,1.7153,1.7212,1.7147,1.7166
2024-05-03,1.7134,1.7200,1.7132,1.7168
2024-05-02,1.7197,1.7213,1.7106,1.7129
2024-05-01,1.7205,1.7219,1.7169,1.7200
2024-04-30,1.7159,1.7225,1.7127,1.7204
2024-04-29,1.7064,1.7165,1.7060,1.7158
2024-04-26,1.7086,1.7106,1.7044,1.7077
2024-04-25,1.7073,1.7130,1.7064,1.7088
2024-04-24,1.7002,1.7080,1.6994,1.7073
2024-04-23,1.6914,1.7025,1.6900,1.7003
2024-04-22,1.7000,1.7011,1.6886,1.6914
2024-04-19,1.7125,1.7145,1.6998,1.7007
2024-04-18,1.7147,1.7168,1.7111,1.7122
2024-04-17,1.7182,1.7234,1.7135,1.7147
2024-04-16,1.7158,1.7240,1.7133,1.7183
2024-04-15,1.7131,1.7170,1.7122,1.7158
2024-04-12,1.7186,1.7194,1.7102,1.7148
2024-04-11,1.7149,1.7192,1.7143,1.7186
2024-04-10,1.7200,1.7236,1.7129,1.7149
2024-04-09,1.7174,1.7240,1.7168,1.7202
2024-04-08,1.7164,1.7193,1.7142,1.7174
2024-04-05,1.7116,1.7183,1.7109,1.7173
2024-04-04,1.7110,1.7135,1.7073,1.7116
2024-04-03,1.7059,1.7123,1.7033,1.7110
2024-04-02,1.7031,1.7076,1.7023,1.7058
2024-04-01,1.7091,1.7109,1.7020,1.7034
2024-03-29,1.7086,1.7126,1.7071,1.7092
2024-03-28,1.7141,1.7162,1.7069,1.7087
2024-03-27,1.7150,1.7178,1.7123,1.7141
2024-03-26,1.7161,1.7188,1.7128,1.7150
2024-03-25,1.7134,1.7187,1.7124,1.7164
2024-03-22,1.7119,1.7149,1.7069,1.7148
2024-03-21,1.7251,1.7253,1.7111,1.7119
2024-03-20,1.7250,1.7280,1.7218,1.7252
2024-03-19,1.7223,1.7290,1.7198,1.7251
2024-03-18,1.7236,1.7259,1.7208,1.7224
2024-03-15,1.7254,1.7266,1.7211,1.7251
2024-03-14,1.7238,1.7263,1.7216,1.7253
2024-03-13,1.7254,1.7274,1.7217,1.7238
2024-03-12,1.7275,1.7280,1.7211,1.7256
2024-03-11,1.7329,1.7339,1.7255,1.7275
2024-03-08,1.7234,1.7344,1.7206,1.7330
2024-03-07,1.7198,1.7246,1.7189,1.7236
2024-03-06,1.7269,1.7293,1.7196,1.7203
2024-03-05,1.7215,1.7278,1.7207,1.7268
2024-03-04,1.7157,1.7236,1.7129,1.7225
2024-03-01,1.7139,1.7175,1.7119,1.7155
2024-02-29,1.7189,1.7220,1.7121,1.7139
2024-02-28,1.7159,1.7200,1.7139,1.7189
2024-02-27,1.7130,1.7172,1.7094,1.7159
2024-02-26,1.7100,1.7164,1.7092,1.7128
2024-02-23,1.7065,1.7128,1.7051,1.7112
2024-02-22,1.7061,1.7087,1.7016,1.7067
2024-02-21,1.7068,1.7083,1.7035,1.7065
2024-02-20,1.6982,1.7130,1.6969,1.7068
2024-02-19,1.6989,1.7014,1.6972,1.6986
2024-02-16,1.6960,1.7010,1.6942,1.6992
2024-02-15,1.7012,1.7025,1.6960,1.6964
2024-02-14,1.7078,1.7092,1.6972,1.7017
2024-02-13,1.6985,1.7112,1.6957,1.7076
2024-02-12,1.6991,1.7021,1.6957,1.6985
2024-02-09,1.6975,1.7024,1.6912,1.6996
2024-02-08,1.6997,1.7010,1.6952,1.6978
