Date,Open,High,Low,Close
2024-06-11,1.9258,1.9319,1.9255,1.9298
2024-06-10,1.9329,1.9346,1.9225,1.9246
2024-06-07,1.9178,1.9335,1.9149,1.9325
2024-06-06,1.9220,1.9252,1.9162,1.9178
2024-06-05,1.9203,1.9261,1.9171,1.9224
2024-06-04,1.9138,1.9259,1.9128,1.9203
2024-06-03,1.9144,1.9184,1.9092,1.9142
2024-05-31,1.9193,1.9205,1.9096,1.9152
2024-05-30,1.9204,1.9245,1.9155,1.9193
2024-05-29,1.9189,1.9235,1.9136,1.9209
2024-05-28,1.9182,1.9205,1.9146,1.9188
2024-05-27,1.9208,1.9229,1.9169,1.9183
2024-05-24,1.9222,1.9249,1.9196,1.9216
2024-05-23,1.9211,1.9237,1.9154,1.9222
2024-05-22,1.9057,1.9237,1.9027,1.9211
2024-05-21,1.9054,1.9105,1.9031,1.9059
2024-05-20,1.8971,1.9059,1.8939,1.9056
2024-05-17,1.8973,1.9031,1.8958,1.8977
2024-05-16,1.8954,1.9005,1.8907,1.8970
2024-05-15,1.9000,1.9031,1.8923,1.8952
2024-05-14,1.9004,1.9035,1.8945,1.8998
2024-05-13,1.8964,1.9016,1.8945,1.9006
2024-05-10,1.8909,1.8980,1.8904,1.8968
2024-05-09,1.8985,1.9011,1.8889,1.8912
2024-05-08,1.8953,1.9033,1.8952,1.8986
2024-05-07,1.8961,1.9037,1.8917,1.8955
2024-05-06,1.8972,1.8991,1.8936,1.8961
2024-05-03,1.9082,1.9099,1.8943,1.8981
2024-05-02,1.9173,1.9216,1.9054,1.9084
2024-05-01,1.9287,1.9310,1.9167,1.9175
2024-04-30,1.9126,1.9303,1.9122,1.9289
2024-04-29,1.9118,1.9143,1.9042,1.9125
2024-04-26,1.9191,1.9192,1.9083,1.9124
2024-04-25,1.9175,1.9224,1.9142,1.9191
2024-04-24,1.9180,1.9198,1.9087,1.9175
2024-04-23,1.9145,1.9223,1.9108,1.9179
2024-04-22,1.9264,1.9277,1.9120,1.9143
2024-04-19,1.9364,1.9481,1.9258,1.9274
2024-04-18,1.9347,1.9382,1.9310,1.9365
2024-04-17,1.9411,1.9421,1.9328,1.9347
2024-04-16,1.9317,1.9459,1.9295,1.9410
2024-04-15,1.9243,1.9325,1.9201,1.9317
2024-04-12,1.9200,1.9280,1.9188,1.9259
2024-04-11,1.9245,1.9275,1.9178,1.9200
2024-04-10,1.9122,1.9291,1.9115,1.9246
2024-04-09,1.9158,1.9179,1.9099,1.9121
2024-04-08,1.9212,1.9232,1.9131,1.9160
2024-04-05,1.9186,1.9237,1.9159,1.9210
2024-04-04,1.9273,1.9275,1.9133,1.9187
2024-04-03,1.9295,1.9334,1.9251,1.9274
2024-04-02,1.9337,1.9348,1.9261,1.9294
2024-04-01,1.9361,1.9377,1.9307,1.9339
2024-03-29,1.9366,1.9403,1.9311,1.9357
2024-03-28,1.9340,1.9448,1.9312,1.9366
2024-03-27,1.9322,1.9370,1.9310,1.9344
2024-03-26,1.9319,1.9350,1.9292,1.9325
2024-03-25,1.9337,1.9354,1.9278,1.9320
2024-03-22,1.9258,1.9381,1.9252,1.9344
2024-03-21,1.9424,1.9427,1.9246,1.9259
2024-03-20,1.9472,1.9500,1.9400,1.9424
2024-03-19,1.9403,1.9507,1.9385,1.9472
2024-03-18,1.9408,1.9420,1.9377,1.9402
2024-03-15,1.9370,1.9442,1.9365,1.9419
2024-03-14,1.9323,1.9387,1.9304,1.9372
2024-03-13,1.9359,1.9382,1.9290,1.9326
2024-03-12,1.9374,1.9394,1.9285,1.9361
2024-03-11,1.9400,1.9446,1.9350,1.9377
2024-03-08,1.9345,1.9417,1.9290,1.9402
2024-03-07,1.9391,1.9403,1.9275,1.9345
2024-03-06,1.9534,1.9553,1.9379,1.9392
2024-03-05,1.9494,1.9569,1.9454,1.9531
2024-03-04,1.9380,1.9500,1.9362,1.9492
2024-03-01,1.9425,1.9464,1.9359,1.9384
2024-02-29,1.9491,1.9501,1.9408,1.9426
2024-02-28,1.9384,1.9506,1.9359,1.9492
2024-02-27,1.9389,1.9428,1.9335,1.9384
2024-02-26,1.9294,1.9408,1.9281,1.9394
2024-02-23,1.9307,1.9331,1.9258,1.9294
2024-02-22,1.9285,1.9330,1.9222,1.9307
2024-02-21,1.9272,1.9304,1.9221,1.9280
2024-02-20,1.9246,1.9298,1.9192,1.9272
2024-02-19,1.9301,1.9309,1.9245,1.9245
2024-02-16,1.9306,1.9334,1.9266,1.9276
