Date,Open,High,Low,Close
2024-06-11,1.1409,1.1421,1.1405,1.1419
2024-06-10,1.1413,1.1423,1.1373,1.1394
2024-06-07,1.1376,1.1422,1.1365,1.1398
2024-06-06,1.1421,1.1423,1.1364,1.1377
2024-06-05,1.1364,1.1432,1.1356,1.1421
2024-06-04,1.1464,1.1482,1.1351,1.1364
2024-06-03,1.1495,1.1498,1.1436,1.1465
2024-05-31,1.1497,1.1533,1.1473,1.1494
2024-05-30,1.1596,1.1607,1.1486,1.1496
2024-05-29,1.1636,1.1656,1.1587,1.1595
2024-05-28,1.1661,1.1666,1.1619,1.1638
2024-05-27,1.1639,1.1677,1.1637,1.1665
2024-05-24,1.1605,1.1654,1.1597,1.1645
2024-05-23,1.1638,1.1647,1.1593,1.1608
2024-05-22,1.1572,1.1652,1.1568,1.1638
2024-05-21,1.1562,1.1584,1.1551,1.1572
2024-05-20,1.1541,1.1574,1.1533,1.1562
2024-05-17,1.1476,1.1547,1.1471,1.1544
2024-05-16,1.1440,1.1483,1.1407,1.1476
2024-05-15,1.1411,1.1453,1.1393,1.1439
2024-05-14,1.1403,1.1418,1.1358,1.1411
2024-05-13,1.1334,1.1409,1.1327,1.1403
2024-05-10,1.1340,1.1375,1.1337,1.1348
2024-05-09,1.1341,1.1366,1.1318,1.1340
2024-05-08,1.1358,1.1362,1.1325,1.1341
2024-05-07,1.1376,1.1397,1.1351,1.1359
2024-05-06,1.1349,1.1395,1.1340,1.1381
2024-05-03,1.1406,1.1416,1.1340,1.1349
2024-05-02,1.1475,1.1493,1.1382,1.1405
2024-05-01,1.1478,1.1512,1.1452,1.1476
2024-04-30,1.1430,1.1495,1.1419,1.1480
2024-04-29,1.1408,1.1458,1.1399,1.1429
2024-04-26,1.1410,1.1428,1.1383,1.1416
2024-04-25,1.1399,1.1436,1.1386,1.1411
2024-04-24,1.1339,1.1407,1.1335,1.1397
2024-04-23,1.1258,1.1355,1.1249,1.1342
2024-04-22,1.1254,1.1295,1.1211,1.1260
2024-04-19,1.1347,1.1352,1.1168,1.1256
2024-04-18,1.1342,1.1363,1.1321,1.1348
2024-04-17,1.1341,1.1373,1.1314,1.1336
2024-04-16,1.1344,1.1382,1.1332,1.1341
2024-04-15,1.1355,1.1413,1.1332,1.1344
2024-04-12,1.1418,1.1429,1.1318,1.1381
2024-04-11,1.1442,1.1484,1.1398,1.1422
2024-04-10,1.1442,1.1481,1.1429,1.1442
2024-04-09,1.1452,1.1465,1.1435,1.1447
2024-04-08,1.1387,1.1463,1.1382,1.1452
2024-04-05,1.1395,1.1429,1.1354,1.1397
2024-04-04,1.1418,1.1485,1.1375,1.1395
2024-04-03,1.1413,1.1438,1.1407,1.1421
2024-04-02,1.1346,1.1424,1.1340,1.1413
2024-04-01,1.1378,1.1400,1.1336,1.1346
2024-03-29,1.1382,1.1400,1.1358,1.1378
2024-03-28,1.1419,1.1438,1.1365,1.1382
2024-03-27,1.1409,1.1451,1.1394,1.1421
2024-03-26,1.1359,1.1431,1.1355,1.1409
2024-03-25,1.1299,1.1367,1.1290,1.1359
2024-03-22,1.1357,1.1380,1.1292,1.1308
2024-03-21,1.1333,1.1459,1.1308,1.1357
2024-03-20,1.1292,1.1347,1.1288,1.1337
2024-03-19,1.1289,1.1306,1.1245,1.1292
2024-03-18,1.1241,1.1307,1.1236,1.1289
2024-03-15,1.1267,1.1276,1.1241,1.1250
2024-03-14,1.1244,1.1278,1.1237,1.1267
2024-03-13,1.1215,1.1249,1.1212,1.1244
2024-03-12,1.1242,1.1249,1.1195,1.1221
2024-03-11,1.1271,1.1284,1.1232,1.1242
2024-03-08,1.1241,1.1289,1.1225,1.1270
2024-03-07,1.1227,1.1250,1.1203,1.1241
2024-03-06,1.1217,1.1268,1.1212,1.1227
2024-03-05,1.1227,1.1247,1.1214,1.1223
2024-03-04,1.1183,1.1248,1.1157,1.1230
2024-03-01,1.1165,1.1218,1.1152,1.1174
2024-02-29,1.1125,1.1168,1.1113,1.1163
2024-02-28,1.1144,1.1154,1.1117,1.1124
2024-02-27,1.1162,1.1172,1.1139,1.1144
2024-02-26,1.1137,1.1173,1.1137,1.1162
2024-02-23,1.1140,1.1177,1.1131,1.1159
2024-02-22,1.1112,1.1158,1.1082,1.1140
2024-02-21,1.1130,1.1135,1.1095,1.1113
2024-02-20,1.1112,1.1147,1.1092,1.1131
2024-02-19,1.1093,1.1128,1.1084,1.1111
2024-02-16,1.1084,1.1108,1.1071,1.1093
2024-02-15,1.1128,1.1131,1.1056,1.1086
2024-02-14,1.1170,1.1174,1.1111,1.1129
2024-02-13,1.1054,1.1184,1.1040,1.1167
2024-02-12,1.1044,1.1066,1.1027,1.1058
2024-02-09,1.1022,1.1060,1.1009,1.1038
2024-02-08,1.1037,1.1044,1.1002,1.1023
2024-02-07,1.0957,1.1047,1.0940,1.1038
2024-02-06,1.0911,1.0984,1.0896,1.0954
2024-02-05,1.0943,1.0974,1.0901,1.0915
2024-02-02,1.0928,1.0962,1.0906,1.0943
2024-02-01,1.0926,1.0950,1.0893,1.0930
2024-01-31,1.0940,1.0954,1.0899,1.0927
2024-01-30,1.0945,1.0954,1.0910,1.0943
2024-01-29,1.0959,1.0990,1.0929,1.0944
2024-01-26,1.1013,1.1023,1.0959,1.0973
2024-01-25,1.0979,1.1024,1.0965,1.1013
2024-01-24,1.1040,1.1052,1.0972,1.0979
2024-01-23,1.1042,1.1055,1.1020,1.1040
2024-01-22,1.1013,1.1060,1.1006,1.1044
2024-01-19,1.1025,1.1038,1.1002,1.1024
2024-01-18,1.0955,1.1037,1.0944,1.1029
2024-01-17,1.0885,1.0989,1.0864,1.0953
2024-01-16,1.0887,1.0903,1.0864,1.0887
2024-01-15,1.0868,1.0897,1.0844,1.0888
2024-01-12,1.0863,1.0892,1.0845,1.0864
2024-01-11,1.0837,1.0898,1.0825,1.0863
2024-01-10,1.0830,1.0857,1.0811,1.0840
2024-01-09,1.0810,1.0842,1.0792,1.0831
2024-01-08,1.0789,1.0824,1.0782,1.0809
2024-01-05,1.0780,1.0819,1.0765,1.0808
2024-01-04,1.0748,1.0814,1.0744,1.0782
2024-01-03,1.0726,1.0800,1.0709,1.0753
2024-01-02,1.0690,1.0787,1.0669,1.0726
2024-01-01,1.0693,1.0700,1.0679,1.0686
2023-12-29,1.0754,1.0764,1.0643,1.0706
2023-12-28,1.0788,1.0795,1.0633,1.0754
2023-12-27,1.0859,1.0882,1.0758,1.0786
2023-12-26,1.0855,1.0889,1.0835,1.0860
2023-12-25,1.0880,1.0883,1.0842,1.0842
2023-12-22,1.0862,1.0895,1.0842,1.0861
2023-12-21,1.0902,1.0909,1.0833,1.0864
2023-12-20,1.0957,1.0962,1.0877,1.0901
2023-12-19,1.0965,1.1015,1.0943,1.0960
2023-12-18,1.1030,1.1044,1.0961,1.0967
2023-12-15,1.1074,1.1086,1.1000,1.1029
2023-12-14,1.0995,1.1077,1.0957,1.1074
2023-12-13,1.0995,1.1013,1.0956,1.0998
2023-12-12,1.1026,1.1034,1.0976,1.0993
2023-12-11,1.1026,1.1088,1.1017,1.1028
2023-12-08,1.1016,1.1056,1.0982,1.1040
2023-12-07,1.0982,1.1037,1.0973,1.1021
2023-12-06,1.1018,1.1034,1.0981,1.0986
2023-12-05,1.1023,1.1045,1.1005,1.1020
2023-12-04,1.1043,1.1089,1.1005,1.1023
2023-12-01,1.1043,1.1081,1.1014,1.1036
2023-11-30,1.1094,1.1099,1.0994,1.1045
2023-11-29,1.1143,1.1156,1.1086,1.1092
2023-11-28,1.1114,1.1152,1.1102,1.1142
2023-11-27,1.1113,1.1128,1.1095,1.1113
2023-11-24,1.1079,1.1127,1.1057,1.1118
2023-11-23,1.1040,1.1100,1.1025,1.1078
2023-11-22,1.1077,1.1089,1.1026,1.1042
2023-11-21,1.1066,1.1088,1.1047,1.1079
2023-11-20,1.1039,1.1068,1.1009,1.1063
2023-11-17,1.1030,1.1043,1.0985,1.1024
2023-11-16,1.1023,1.1041,1.0993,1.1029
2023-11-15,1.1111,1.1112,1.1016,1.1023
2023-11-14,1.1068,1.1125,1.1054,1.1111
2023-11-13,1.1027,1.1086,1.1011,1.1071
2023-11-10,1.1034,1.1059,1.1000,1.1022
2023-11-09,1.1044,1.1079,1.1028,1.1035
2023-11-08,1.1068,1.1076,1.1021,1.1043
2023-11-07,1.1097,1.1107,1.1054,1.1071
2023-11-06,1.1120,1.1153,1.1088,1.1101
2023-11-03,1.1047,1.1136,1.1034,1.1129
2023-11-02,1.1021,1.1061,1.0996,1.1050
2023-11-01,1.1049,1.1063,1.0995,1.1023
2023-10-31,1.0967,1.1064,1.0948,1.1049
2023-10-30,1.0920,1.0978,1.0915,1.0971
2023-10-27,1.0898,1.0970,1.0884,1.0940
2023-10-26,1.0856,1.0912,1.0840,1.0901
2023-10-25,1.0858,1.0883,1.0847,1.0855
2023-10-24,1.0910,1.0940,1.0849,1.0859
2023-10-23,1.0836,1.0921,1.0832,1.0910
2023-10-20,1.0814,1.0859,1.0779,1.0849
2023-10-19,1.0909,1.0916,1.0812,1.0814
2023-10-18,1.0965,1.0973,1.0893,1.0909
2023-10-17,1.0985,1.0997,1.0946,1.0961
2023-10-16,1.0942,1.1007,1.0941,1.0985
2023-10-13,1.1052,1.1077,1.0912,1.0955
2023-10-12,1.1095,1.1103,1.1037,1.1051
2023-10-11,1.1103,1.1126,1.1078,1.1095
2023-10-10,1.1091,1.1118,1.1061,1.1107
2023-10-09,1.1095,1.1115,1.1058,1.1092
2023-10-06,1.1121,1.1144,1.1101,1.1133
2023-10-05,1.1122,1.1139,1.1095,1.1123
2023-10-04,1.1117,1.1151,1.1098,1.1128
2023-10-03,1.1095,1.1150,1.1082,1.1123
2023-10-02,1.1152,1.1173,1.1083,1.1095
2023-09-29,1.1162,1.1192,1.1122,1.1159
2023-09-28,1.1171,1.1215,1.1156,1.1164
2023-09-27,1.1125,1.1181,1.1118,1.1171
2023-09-26,1.1134,1.1144,1.1107,1.1128
2023-09-25,1.1095,1.1147,1.1092,1.1134
2023-09-22,1.1116,1.1123,1.1081,1.1097
2023-09-21,1.1089,1.1168,1.1067,1.1114
2023-09-20,1.1119,1.1127,1.1068,1.1088
2023-09-19,1.1107,1.1134,1.1083,1.1116
2023-09-18,1.1104,1.1124,1.1082,1.1108
2023-09-15,1.1109,1.1144,1.1096,1.1111
2023-09-14,1.1155,1.1164,1.1087,1.1108
2023-09-13,1.1128,1.1162,1.1094,1.1158
2023-09-12,1.1141,1.1168,1.1109,1.1127
2023-09-11,1.1117,1.1181,1.1116,1.1143
2023-09-08,1.1128,1.1148,1.1108,1.1128
2023-09-07,1.1140,1.1152,1.1106,1.1129
2023-09-06,1.1168,1.1190,1.1131,1.1137
2023-09-05,1.1160,1.1187,1.1123,1.1171
2023-09-04,1.1145,1.1177,1.1138,1.1163
2023-09-01,1.1190,1.1198,1.1136,1.1143
2023-08-31,1.1169,1.1207,1.1156,1.1188
2023-08-30,1.1107,1.1176,1.1093,1.1165
2023-08-29,1.1130,1.1165,1.1083,1.1104
2023-08-28,1.1117,1.1143,1.1102,1.1130
2023-08-25,1.1137,1.1173,1.1115,1.1121
2023-08-24,1.1158,1.1179,1.1127,1.1141
2023-08-23,1.1205,1.1221,1.1111,1.1164
2023-08-22,1.1202,1.1231,1.1190,1.1202
2023-08-21,1.1222,1.1243,1.1181,1.1203
2023-08-18,1.1190,1.1243,1.1169,1.1222
2023-08-17,1.1198,1.1220,1.1167,1.1191
2023-08-16,1.1150,1.1218,1.1144,1.1199
2023-08-15,1.1138,1.1179,1.1116,1.1147
2023-08-14,1.1119,1.1153,1.1104,1.1139
2023-08-11,1.1104,1.1149,1.1101,1.1129
2023-08-10,1.1149,1.1164,1.1097,1.1104
2023-08-09,1.1154,1.1176,1.1137,1.1150
2023-08-08,1.1153,1.1166,1.1123,1.1145
2023-08-07,1.1115,1.1176,1.1113,1.1154
2023-08-04,1.1108,1.1155,1.1105,1.1124
2023-08-03,1.1150,1.1171,1.1053,1.1107
2023-08-02,1.1145,1.1235,1.1125,1.1151
2023-08-01,1.1179,1.1229,1.1136,1.1147
2023-07-31,1.1174,1.1219,1.1144,1.1169
2023-07-28,1.1110,1.1193,1.1093,1.1179
2023-07-27,1.1136,1.1179,1.1085,1.1113
2023-07-26,1.1139,1.1160,1.1106,1.1137
2023-07-25,1.1148,1.1175,1.1116,1.1138
2023-07-24,1.1117,1.1159,1.1087,1.1148
2023-07-21,1.1142,1.1172,1.1081,1.1123
2023-07-20,1.1107,1.1163,1.1060,1.1143
2023-07-19,1.1177,1.1182,1.1057,1.1107
2023-07-18,1.1242,1.1258,1.1168,1.1177
2023-07-17,1.1280,1.1294,1.1222,1.1242
2023-07-14,1.1277,1.1305,1.1238,1.1280
2023-07-13,1.1256,1.1293,1.1227,1.1272
2023-07-12,1.1366,1.1385,1.1248,1.1256
2023-07-11,1.1382,1.1402,1.1350,1.1367
2023-07-10,1.1400,1.1416,1.1356,1.1381
2023-07-07,1.1401,1.1443,1.1395,1.1405
2023-07-06,1.1410,1.1453,1.1378,1.1402
2023-07-05,1.1396,1.1426,1.1391,1.1409
2023-07-04,1.1368,1.1412,1.1358,1.1403
2023-07-03,1.1350,1.1408,1.1350,1.1368
2023-06-30,1.1336,1.1405,1.1333,1.1368
2023-06-29,1.1325,1.1355,1.1313,1.1336
2023-06-28,1.1384,1.1402,1.1313,1.1324
2023-06-27,1.1377,1.1433,1.1365,1.1384
2023-06-26,1.1393,1.1413,1.1317,1.1378
2023-06-23,1.1398,1.1452,1.1378,1.1405
2023-06-22,1.1399,1.1462,1.1355,1.1399
2023-06-21,1.1455,1.1505,1.1377,1.1399
