Date,Open,High,Low,Close
2024-06-11,2.0767,2.0814,2.0758,2.0798
2024-06-10,2.0830,2.0859,2.0741,2.0765
2024-06-07,2.0635,2.0846,2.0614,2.0842
2024-06-06,2.0641,2.0687,2.0605,2.0635
2024-06-05,2.0662,2.0690,2.0610,2.0637
2024-06-04,2.0676,2.0723,2.0636,2.0669
2024-06-03,2.0730,2.0757,2.0643,2.0678
2024-05-31,2.0818,2.0822,2.0697,2.0736
2024-05-30,2.0757,2.0840,2.0751,2.0814
2024-05-29,2.0771,2.0815,2.0750,2.0761
2024-05-28,2.0747,2.0787,2.0713,2.0775
2024-05-27,2.0800,2.0809,2.0743,2.0751
2024-05-24,2.0810,2.0847,2.0789,2.0803
2024-05-23,2.0860,2.0865,2.0755,2.0814
2024-05-22,2.0845,2.0896,2.0675,2.0864
2024-05-21,2.0801,2.0864,2.0794,2.0843
2024-05-20,2.0688,2.0827,2.0684,2.0806
2024-05-17,2.0694,2.0731,2.0678,2.0700
2024-05-16,2.0721,2.0751,2.0672,2.0692
2024-05-15,2.0841,2.0846,2.0697,2.0722
2024-05-14,2.0869,2.0892,2.0772,2.0841
2024-05-13,2.0801,2.0881,2.0789,2.0868
2024-05-10,2.0752,2.0834,2.0732,2.0799
2024-05-09,2.0802,2.0840,2.0732,2.0749
2024-05-08,2.0833,2.0869,2.0787,2.0802
2024-05-07,2.0899,2.0912,2.0809,2.0827
2024-05-06,2.0868,2.0924,2.0844,2.0899
2024-05-03,2.1017,2.1040,2.0821,2.0870
2024-05-02,2.1121,2.1168,2.0996,2.1010
2024-05-01,2.1203,2.1259,2.1106,2.1124
2024-04-30,2.1008,2.1221,2.1002,2.1203
2024-04-29,2.0999,2.1050,2.0958,2.1010
2024-04-26,2.1022,2.1042,2.0951,2.1030
2024-04-25,2.0982,2.1057,2.0964,2.1028
2024-04-24,2.0974,2.1006,2.0921,2.0984
2024-04-23,2.0856,2.0991,2.0839,2.0968
2024-04-22,2.0988,2.1004,2.0833,2.0858
2024-04-19,2.1059,2.1172,2.0993,2.1000
2024-04-18,2.1045,2.1084,2.1010,2.1070
2024-04-17,2.1131,2.1196,2.1023,2.1043
2024-04-16,2.1074,2.1204,2.1051,2.1129
2024-04-15,2.0948,2.1096,2.0931,2.1073
2024-04-12,2.0926,2.0979,2.0889,2.0970
2024-04-11,2.0970,2.0989,2.0897,2.0930
2024-04-10,2.0916,2.0998,2.0854,2.0971
2024-04-09,2.0966,2.0982,2.0888,2.0916
2024-04-08,2.1011,2.1034,2.0941,2.0966
2024-04-05,2.0967,2.1021,2.0960,2.1012
2024-04-04,2.1048,2.1053,2.0943,2.0970
2024-04-03,2.1056,2.1116,2.1035,2.1049
