Date,Open,High,Low,Close
2024-06-11,463.7700,465.0600,463.6900,464.7200
2024-06-10,461.0600,467.0400,460.5400,464.6900
2024-06-07,457.8100,461.1100,456.4300,460.4700
2024-06-06,458.4300,460.6700,456.8300,457.6100
2024-06-05,460.7000,461.6300,458.3000,458.7200
2024-06-04,457.4700,462.1000,457.3700,461.2600
2024-06-03,457.4600,460.0900,456.5300,458.4100
2024-05-31,456.6400,458.1900,454.7200,457.3600
2024-05-30,455.6300,458.1200,454.7500,456.9500
2024-05-29,451.1400,456.6300,450.8600,455.9200
2024-05-28,451.2200,452.2400,449.5400,451.4800
2024-05-27,451.3100,452.8000,450.3400,452.0100
2024-05-24,452.6700,453.8400,450.1500,450.7300
2024-05-23,453.7700,456.0300,452.2400,453.0100
2024-05-22,450.7700,455.6600,450.7700,454.9700
2024-05-21,450.8900,451.9800,450.3000,450.6400
2024-05-20,452.1700,452.6200,450.3300,451.4500
2024-05-17,450.0200,452.6300,450.0200,451.9300
2024-05-16,448.9900,450.9700,448.8200,450.4300
2024-05-15,448.2500,450.2100,448.2500,449.6900
2024-05-14,449.8800,450.4000,447.9600,448.6400
2024-05-13,450.4800,451.1500,449.3300,449.3300
2024-05-10,450.1700,451.5500,449.5700,450.6000
2024-05-09,451.4600,452.2000,449.3700,449.6600
2024-05-08,451.7500,452.5400,451.1300,451.8100
2024-05-07,452.0800,453.9300,451.3600,452.4300
2024-05-06,453.2200,455.3500,452.1800,453.2400
2024-05-03,454.2300,455.8900,452.6500,453.5900
2024-05-02,456.1900,456.4900,454.0900,454.7900
2024-05-01,456.8300,458.0500,454.8900,456.2600
2024-04-30,457.4500,458.8500,456.2300,457.7200
2024-04-29,458.6500,458.9000,457.2100,458.1300
2024-04-26,458.0100,459.5100,456.8900,457.9700
2024-04-25,457.7800,460.0100,457.4600,457.8100
2024-04-24,456.7700,459.1200,456.7000,458.7400
2024-04-23,456.6300,457.9400,456.0900,456.3100
2024-04-22,456.9100,458.0600,455.6400,456.3200
2024-04-19,460.1200,462.1800,456.8700,457.1100
2024-04-18,458.5400,461.2000,457.4100,460.6900
2024-04-17,461.7200,463.4100,457.8700,459.0700
2024-04-16,461.5200,463.5200,460.6100,462.0400
2024-04-15,458.1300,462.4500,457.5500,461.2600
2024-04-12,455.9500,460.2600,455.2300,459.3200
2024-04-11,456.4800,457.3600,454.7200,455.6800
2024-04-10,455.5100,458.0300,454.2000,456.4400
2024-04-09,453.8600,456.3300,452.7400,455.7400
2024-04-08,454.0200,455.6400,453.3000,453.7800
2024-04-05,457.4200,457.4700,452.5900,454.6200
2024-04-04,458.4300,458.5900,455.3700,457.3900
2024-04-03,461.0000,461.0800,457.4000,458.4800
2024-04-02,461.0100,462.6500,459.7100,460.9100
2024-04-01,461.0700,462.2100,459.6200,460.7300
2024-03-29,460.6600,461.5800,459.4400,461.0800
2024-03-28,460.4500,463.0700,459.7300,460.8600
2024-03-27,461.2000,461.5500,459.6600,460.8900
2024-03-26,462.7600,463.0500,459.3900,461.5900
2024-03-25,462.5400,463.7600,461.6700,462.7100
2024-03-22,459.3900,463.7300,458.6600,463.1900
2024-03-21,460.9100,462.2300,458.3100,458.9100
2024-03-20,462.1800,463.6600,460.0100,461.0600
2024-03-19,461.9800,463.1600,460.2700,461.8300
2024-03-18,459.3100,462.4600,458.2200,461.8800
2024-03-15,463.4300,463.4900,458.7400,459.0600
2024-03-14,462.9800,464.9300,460.9400,463.4600
2024-03-13,467.0800,467.4500,462.1200,463.1600
2024-03-12,462.5700,467.7800,461.5800,467.1800
2024-03-11,462.4800,464.3100,461.6800,462.6600
2024-03-08,462.1000,463.5200,461.0800,463.1000
2024-03-07,459.9000,463.6100,459.5100,462.0600
2024-03-06,460.5000,461.1000,458.3300,459.9100
2024-03-05,462.4500,463.2600,460.0200,460.4100
2024-03-04,460.1000,462.9600,459.0300,462.2200
2024-03-01,459.0400,460.5700,457.5400,459.1300
2024-02-29,459.3200,460.5500,457.7400,458.1900
